time,nb_dead_node,nb_package
1,0,300
101,0,300
201,0,300
301,0,300
401,0,300
501,0,300
601,0,300
701,0,300
801,0,300
901,0,300
1001,0,300
1101,0,300
1201,0,300
1301,0,300
1401,0,300
1501,0,300
1601,0,300
1701,0,300
1801,0,300
1901,0,300
2001,0,300
2089,1,300
2101,1,300
2123,2,297
2201,2,297
2301,2,297
2329,3,254
2401,3,254
2501,3,254
2505,4,206
2601,4,206
2701,4,206
2801,4,206
2901,4,206
2938,5,206
3001,5,206
3101,5,206
3201,5,206
3301,5,206
3401,5,206
3501,5,206
3589,6,153
3601,6,153
3701,6,153
3801,6,153
3901,6,153
4001,6,153
4085,7,74
4101,7,74
4201,7,74
4301,7,74
4401,7,74
4476,8,74
4501,8,74
4601,8,74
4701,8,74
4801,8,74
4901,8,74
5001,8,74
5101,8,74
5109,9,74
5136,10,74
5201,10,74
5301,10,74
5401,10,74
5501,10,74
5601,10,74
5701,10,74
5801,10,74
5871,11,74
5901,11,74
6001,11,74
